sample_id,other_id,fastq_id_for_wgs,fastq_id_for_wgs_md5
,MDD0119,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0119/WGS/NV0079-03_S13_L001_R1_001,a3af6b3e96e5c84a1cd66b9228e34a28
,MDD0120,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0120/WGS/NV0079-04_S2_L001_R1_001,6c99fc5164d8f9c69a4ab3aa76b8e379
,MDD0121,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0121/WGS/NV0079-05_S3_L001_R1_001,7e15a5a9e3461797d856a950c714e9d0
,MDD0122,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0122/WGS/NV0079-06_S4_L001_R1_001,8373b7dd9e4ce939b30eae8584635909
,MDD0131,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0131/WGS/NV0079-07_S5_L001_R1_001,d38e84ad7a02e2a02dfdebaf4b833ccc
,MDD0132,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0132/WGS/NV0079-08_S6_L001_R1_001,15f5e965126aab38454d4b6fbe18c156
,MDD0135,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0135/WGS/NV0079-09_S1_L001_R1_001,b9db90870fa4c2402efc783b02de6bdd
,MDD0137,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0137/WGS/NV0079-10_S2_L001_R1_001,b222651150e675972565d2a03dd60214
,MDD0138,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0138/WGS/NV0079-11_S3_L001_R1_001,18bfe2c673f1bff922b33183bca6220e
,MDD0139,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0139/WGS/NV0079-12_S4_L001_R1_001,f035d1126e2de621630fdacf177c7360
,MDD0140,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0140/WGS/NV0079-13_S5_L001_R1_001,0539803dc4bd3133429bb7b6244d13f4
,MDD0141,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/MDD0141/WGS/NV0079-14_S6_L001_R1_001,f9ddb37f7ca1b71a5515ab9eddb3463a
DE7597,,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/DE7597/WGS/NTUH_Deafness_DE7597_WGS,ed7a7a538ca0285d8334d07c156e9049
DE7598,,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/DE7598/WGS/NTUH_Deafness_DE7598_WGS,25ec7ccf9e52e5a381dda53a0fc89bda
DE7599,,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/DE7599/WGS/NTUH_Deafness_DE7599_WGS,96e473243d6d69b70bd3b2362ce2a724
DE7604,,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/DE7604/WGS/NTUH_Deafness_DE7604_WGS,62b02b66f4ba9d75a7056e446f50d79b
DE7605,,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/DE7605/WGS/NTUH_Deafness_DE7605_WGS,7d67ba2b9823e288e331cc14ec4acab0
DE7606,,/staging/reserve/paylong_ntu/AI_SHARE/rawdata/Deafness/DE7606/WGS/NTUH_Deafness_DE7606_WGS,318aad2f0fbaf26c4fca28fd11c8f7e7
